"Ajalvir","40.5290869072082,-3.4765786497"
"Alameda-del-Valle","40.9204642345628,-3.8482444566"
"Alamo-El","40.2328447920607,-3.9873046784"
"Alcala-de-Henares","40.4994044151797,-3.3401732231"
"Alcobendas","40.5361528074896,-3.62913202"
"Alcorcon","40.3492301805427,-3.828472495"
"Aldea-del-Fresno","40.3064188142099,-4.2175445017"
"Algete","40.6149831488445,-3.5332791623"
"Alpedrete","40.6619057447873,-4.0188988955"
"Ambite","40.3425539086476,-3.1719971825"
"Anchuelo","40.4688341160077,-3.2765909995"
"Aranjuez","40.0201959278488,-3.6590717053"
"Arganda-del-Rey","40.2963710574893,-3.4494456553"
"Arroyomolinos","39.14453538418,-6.145081978888"
"Atazar-El","40.9291900455952,-3.4725994424"
"Batres","40.2253756745192,-3.9279972834"
"Becerril-de-la-Sierra","40.7030728964239,-3.9336828559"
"Belmonte-de-Tajo","40.1329438910525,-3.3375285243"
"Berrueco-El","40.8882301695029,-3.5532282577"
"Berzosa-del-Lozoya","40.973604970757,-3.53245574777"
"Boadilla-del-Monte","40.4046078284925,-3.8846969604"
"Boalo-El","40.7010483087815,-3.9146047118"
"Braojos","41.0566159150237,-3.6558104438"
"Brea-de-Tajo","40.2386793085996,-3.1200750208"
"Brunete","40.399571349713,-3.99752718267"
"Buitrago-del-Lozoya","40.9941858015711,-3.6353828942"
"Bustarviejo","40.843724975422,-3.73083730601"
"Cabanillas-de-la-Sierra","40.8257025502559,-3.6367763845"
"Cabrera-La","40.8642054412246,-3.6082815679"
"Cadalso-de-los-Vidrios","40.2984134476714,-4.4388129975"
"Camarma-de-Esteruelas","40.5630469260784,-3.3745794039"
"Campo-Real","40.3223777787187,-3.3776661193"
"Canencia","40.8925333651324,-3.755334904"
"Carabana","40.2553703051457,-3.2468310609"
"Casarrubuelos","40.1748885191372,-3.826849801"
"Cenicientos","40.2420725209193,-4.5083586413"
"Cercedilla","40.7569931686613,-4.0542201025"
"Cervera-de-Buitrago","40.9133961387403,-3.5189323451"
"Chapineria","40.3685433428521,-4.2459823466"
"Chinchon","40.1409731441913,-3.4197407287"
"Ciempozuelos","40.1551815416214,-3.620787972"
"Cobeña","40.5928391474079,-3.4880910639"
"Collado-Mediano","40.6843652167063,-4.0473373355"
"Collado-Villalba","40.6319088790481,-4.005158037"
"Colmenar-de-Oreja","40.1149840582301,-3.385692876"
"Colmenar-del-Arroyo","40.4611964285967,-4.1882640978"
"Colmenar-Viejo","40.6589403450383,-3.7671000732"
"Corpa","40.4427229188033,-3.2688128685"
"Coslada","40.4242883532174,-3.5633447032"
"Cubas-de-la-Sagra","40.2210065981114,-3.8115042029"
"Daganzo-de-Arriba","40.5512126316976,-3.4485060514"
"Escorial-El","40.5816535736545,-4.1278392691"
"Estremera","40.1661342454281,-3.1812049319"
"Fresnedillas-de-la-Oliva","40.5154163164222,-4.1943294735"
"Fresno-de-Torote","40.5952906727076,-3.426353141"
"Fuenlabrada","40.2825190068261,-3.7979511353"
"Fuente-el-Saz-de-Jarama","40.6792120875015,-3.5184519017"
"Fuentiduena-de-Tajo","40.0972821863407,-3.2293742855"
"Galapagar","40.5680937229645,-4.0038964177"
"Garganta-de-los-Montes","40.9040738539706,-3.7061875482"
"Gargantilla-del-Lozoya","40.9767495070745,-3.6935562378"
"Gascones","40.9863278481182,-3.6765228703"
"Getafe","40.3082506465101,-3.7323938049"
"Griñon","40.2226124917314,-3.8496012527"
"Guadalix-de-la-Sierra","40.7768405665931,-3.6887221183"
"Guadarrama","40.6746021038663,-4.0883019161"
"Hiruela-La","41.0728599481711,-3.5293219712"
"Hoyo-de-Manzanares","40.6143291066822,-3.9047241785"
"Humera-El-Plantio","40.4743040028524,-3.7939410824"
"La-Acebeda","41.0930184542923,-3.6201388451"
"Leganes","40.3281051241284,-3.7621871266"
"Loeches","40.4078954347621,-3.4088402567"
"Lozoya","40.9422142547612,-3.7902759346"
"Lozoyuela-Navas-Sieteiglesias","40.9274930312851,-3.616961469"
